,zipcode,median_household_income,population,median_home_value,major_city,lat,long
0,00602,,41520.0,,Aguada,18.361945, -67.175597
1,00603,,54689.0,,Aguadilla,18.455183, -67.119887
2,00606,,6615.0,,Maricao,18.158345, -66.932911
3,00610,,29016.0,,Anasco,18.295366, -67.125135
4,00612,,67010.0,,Arecibo,18.402253, -66.711397
5,00616,,11017.0,,Bajadero,18.420412, -66.671979
6,00617,,24597.0,,Barceloneta,18.445147, -66.559696
7,00622,,7853.0,,Boqueron,17.991245, -67.153993
8,00623,,43061.0,,Cabo Rojo,18.083361, -67.153897
9,00624,,,,Penuelas,18.064919, -66.716683
10,00627,,35159.0,,Camuy,18.412600, -66.863926
11,00631,,,,Castaner,18.190607, -66.832041
12,00637,,,,Sabana Grande,18.076713, -66.947389
13,00638,,18941.0,,Ciales,18.295913, -66.515588
14,00641,,31191.0,,Utuado,18.263085, -66.712985
15,00646,,,,Dorado,18.433150, -66.285875
16,00647,,6172.0,,Ensenada,17.963613, -66.947127
17,00650,,14998.0,,Florida,18.349416, -66.578079
18,00652,,4715.0,,Garrochales,18.448452, -66.594127
19,00653,,13307.0,,Guanica,17.985033, -66.886536
20,00656,,21481.0,,Guayanilla,18.053539, -66.792931
21,00659,,41953.0,,Hatillo,18.407226, -66.808999
22,00660,,17250.0,,Hormigueros,18.134695, -67.116199
23,00662,,,,Isabela,18.468320, -67.015781
24,00664,,16784.0,,Jayuya,18.210330, -66.591616
25,00667,,,,Lajas,18.003422, -67.035810
26,00669,,29744.0,,Lares,18.277102, -66.869645
27,00670,,9807.0,,Las Marias,18.240187, -66.988776
28,00674,,44457.0,,Manati,18.422908, -66.489337
29,00676,,,,Moca,18.377637, -67.079574
30,00677,,15272.0,,Rincon,18.332568, -67.227022
31,00678,,27819.0,,Quebradillas,18.434099, -66.927384
32,00680,,58140.0,,Mayaguez,18.182055, -67.132502
33,00682,,32615.0,,Mayaguez,18.221464, -67.156039
34,00683,,33772.0,,San German,18.107800, -67.037263
35,00685,,42831.0,,San Sebastian,18.332929, -66.959689
36,00687,,32610.0,,Morovis,18.319026, -66.420557
37,00688,,13543.0,,Sabana Hoyos,18.382264, -66.626438
38,00690,,6255.0,,San Antonio,18.495510, -67.098671
39,00692,,37511.0,,Vega Alta,18.410188, -66.336556
40,00693,,61038.0,,Vega Baja,18.423000, -66.397232
41,00694,,328.0,,Vega Baja,18.482370, -66.391079
42,00698,,41782.0,,Yauco,18.064848, -66.856319
43,00703,,28605.0,,Aguas Buenas,18.248401, -66.130662
44,00704,,8577.0,,Aguirre,17.965770, -66.219555
45,00705,,25598.0,,Aibonito,18.128961, -66.266683
46,00707,,12225.0,,Maunabo,18.014055, -65.920751
47,00714,,19566.0,,Arroyo,18.003025, -66.046237
48,00715,,3656.0,,Mercedita,18.011233, -66.560065
49,00716,,33779.0,,Ponce,17.992040, -66.605856
50,00717,,18457.0,,Ponce,18.003222, -66.614037
51,00718,,26606.0,,Naguabo,18.231988, -65.759623
52,00719,,30990.0,,Naranjito,18.289927, -66.253440
53,00720,,23129.0,,Orocovis,18.217946, -66.428076
54,00723,,,,Patillas,18.043498, -66.015479
55,00725,,89374.0,,Caguas,18.218819, -66.042375
56,00727,,58382.0,,Caguas,18.215308, -66.073565
57,00728,,44908.0,,Ponce,17.989853, -66.664116
58,00729,,53750.0,,Canovanas,18.323585, -65.883206
59,00730,,35742.0,,Ponce,18.030831, -66.616838
60,00731,,15524.0,,Ponce,18.109947, -66.635622
61,00735,,13730.0,,Ceiba,18.252604, -65.682494
62,00736,,51532.0,,Cayey,18.103624, -66.151667
63,00738,,34922.0,,Fajardo,18.304458, -65.698711
64,00739,,39678.0,,Cidra,18.177233, -66.160645
65,00740,,,,Puerto Real,18.331178, -65.634104
66,00741,,4971.0,,Punta Santiago,18.163855, -65.754042
67,00745,,,,Rio Grande,18.352216, -65.817387
68,00751,,23129.0,,Salinas,18.001317, -66.252183
69,00754,,40828.0,,San Lorenzo,18.147107, -65.976167
70,00757,,,,Santa Isabel,17.995441, -66.391334
71,00765,,9098.0,,Vieques,18.130096, -65.439369
72,00766,,26488.0,,Villalba,18.133196, -66.476916
73,00767,,38019.0,,Yabucoa,18.069489, -65.896161
74,00769,,40248.0,,Coamo,18.103800, -66.357586
75,00771,,38394.0,,Las Piedras,18.187148, -65.871189
76,00772,,23105.0,,Loiza,18.438969, -65.905174
77,00773,,20068.0,,Luquillo,18.342888, -65.723109
78,00775,,1786.0,,Culebra,18.326599, -65.307720
79,00777,,40684.0,,Juncos,18.224133, -65.908542
80,00778,,45429.0,,Gurabo,18.264076, -65.978510
81,00780,,13800.0,,Coto Laurel,18.102834, -66.568105
82,00782,,19304.0,,Comerio,18.225708, -66.221633
83,00783,,36557.0,,Corozal,18.303910, -66.326179
84,00784,,44637.0,,Guayama,18.010714, -66.133615
85,00786,,357.0,,La Plata,18.155424, -66.229907
86,00791,,53417.0,,Humacao,18.136782, -65.821476
87,00794,,30585.0,,Barranquitas,18.198955, -66.309833
88,00795,,48736.0,,Juana Diaz,18.060494, -66.500624
89,00801,,,,,18.350449, -64.973886
90,00802,,,,,18.340862, -64.923479
91,00820,,,,,17.743072, -64.686570
92,00823,,,,,17.723541, -64.745932
93,00824,,,,,17.744557, -64.682933
94,00830,,,,,18.338560, -64.736533
95,00831,,,,,18.327294, -64.786720
96,00840,,,,,17.747872, -64.880695
97,00841,,,,,17.768133, -64.807852
98,00850,,,,,17.709936, -64.750099
99,00851,,,,,17.732228, -64.770760
100,00901,,7080.0,,San Juan,18.465369, -66.104613
101,00906,,4.0,,San Juan,18.464460, -66.094995
102,00907,,17458.0,,San Juan,18.452553, -66.077838
103,00909,,6230.0,,San Juan,18.441610, -66.067132
104,00911,,8623.0,,San Juan,18.451159, -66.056199
105,00912,,6801.0,,San Juan,18.445328, -66.060135
106,00913,,9312.0,,San Juan,18.450002, -66.042656
107,00915,,32820.0,,San Juan,18.437179, -66.045571
108,00917,,21053.0,,San Juan,18.420674, -66.050105
109,00918,,18056.0,,San Juan,18.421022, -66.065789
110,00920,,17893.0,,San Juan,18.414292, -66.088042
111,00921,,37763.0,,San Juan,18.392282, -66.088555
112,00923,,,,San Juan,18.409307, -66.038888
113,00924,,56691.0,,San Juan,18.399192, -66.012453
114,00925,,8696.0,,San Juan,18.400296, -66.050602
115,00926,,,,San Juan,18.345400, -66.051545
116,00927,,,,San Juan,18.388011, -66.072089
117,00934,,288.0,,Fort Buchanan,18.411313, -66.124234
118,00936,,681.0,,San Juan,18.395463, -66.073772
119,00949,,,,Toa Baja,18.430696, -66.212833
120,00950,,9.0,,Toa Baja,18.459699, -66.233101
121,00951,,35.0,,Toa Baja,18.427530, -66.253789
122,00952,,10008.0,,Sabana Seca,18.427448, -66.182026
